,Forecast
2023-03-14 00:00:00+00:00,192.95892
2023-03-15 00:00:00+00:00,190.96399
2023-03-16 00:00:00+00:00,189.85173
2023-03-17 00:00:00+00:00,189.35556
2023-03-20 00:00:00+00:00,189.28635
2023-03-21 00:00:00+00:00,189.51048
2023-03-22 00:00:00+00:00,189.93445
2023-03-23 00:00:00+00:00,190.49408
2023-03-24 00:00:00+00:00,191.14581
2023-03-27 00:00:00+00:00,191.86061
2023-03-28 00:00:00+00:00,192.61911
2023-03-29 00:00:00+00:00,193.40878
2023-03-30 00:00:00+00:00,194.22145
2023-03-31 00:00:00+00:00,195.05173
2023-04-03 00:00:00+00:00,195.89581
2023-04-04 00:00:00+00:00,196.75111
2023-04-05 00:00:00+00:00,197.61572
2023-04-06 00:00:00+00:00,198.48805
2023-04-07 00:00:00+00:00,199.36688
2023-04-10 00:00:00+00:00,200.251
2023-04-11 00:00:00+00:00,201.13956
2023-04-12 00:00:00+00:00,202.03159
2023-04-13 00:00:00+00:00,202.92622
2023-04-14 00:00:00+00:00,203.82281
2023-04-17 00:00:00+00:00,204.72067
2023-04-18 00:00:00+00:00,205.61917
2023-04-19 00:00:00+00:00,206.51775
2023-04-20 00:00:00+00:00,207.41597
2023-04-21 00:00:00+00:00,208.31345
2023-04-24 00:00:00+00:00,209.20964
2023-04-25 00:00:00+00:00,210.10426
2023-04-26 00:00:00+00:00,210.99716
2023-04-27 00:00:00+00:00,211.88802
2023-04-28 00:00:00+00:00,212.77649
2023-05-01 00:00:00+00:00,213.66243
2023-05-02 00:00:00+00:00,214.54578
2023-05-03 00:00:00+00:00,215.42622
2023-05-04 00:00:00+00:00,216.3037
2023-05-05 00:00:00+00:00,217.17802
2023-05-08 00:00:00+00:00,218.0492
2023-05-09 00:00:00+00:00,218.91711
2023-05-10 00:00:00+00:00,219.78166
2023-05-11 00:00:00+00:00,220.64265
2023-05-12 00:00:00+00:00,221.50012
2023-05-15 00:00:00+00:00,222.35411
2023-05-16 00:00:00+00:00,223.2044
2023-05-17 00:00:00+00:00,224.05116
2023-05-18 00:00:00+00:00,224.8941
2023-05-19 00:00:00+00:00,225.73334
2023-05-22 00:00:00+00:00,226.5688
2023-05-23 00:00:00+00:00,227.40039
2023-05-24 00:00:00+00:00,228.22813
2023-05-25 00:00:00+00:00,229.05205
2023-05-26 00:00:00+00:00,229.87216
2023-05-29 00:00:00+00:00,230.6883
2023-05-30 00:00:00+00:00,231.5005
2023-05-31 00:00:00+00:00,232.30888
2023-06-01 00:00:00+00:00,233.11327
2023-06-02 00:00:00+00:00,233.9137
2023-06-05 00:00:00+00:00,234.71019
2023-06-06 00:00:00+00:00,235.50266
2023-06-07 00:00:00+00:00,236.29094
2023-06-08 00:00:00+00:00,237.07527
2023-06-09 00:00:00+00:00,237.85555
2023-06-12 00:00:00+00:00,238.63174
2023-06-13 00:00:00+00:00,239.40393
2023-06-14 00:00:00+00:00,240.172
2023-06-15 00:00:00+00:00,240.93599
2023-06-16 00:00:00+00:00,241.69586
2023-06-19 00:00:00+00:00,242.45164
2023-06-20 00:00:00+00:00,243.20325
2023-06-21 00:00:00+00:00,243.9508
2023-06-22 00:00:00+00:00,244.69415
2023-06-23 00:00:00+00:00,245.43343
2023-06-26 00:00:00+00:00,246.16846
2023-06-27 00:00:00+00:00,246.89937
2023-06-28 00:00:00+00:00,247.62614
2023-06-29 00:00:00+00:00,248.34868
2023-06-30 00:00:00+00:00,249.06706
2023-07-03 00:00:00+00:00,249.78128
2023-07-04 00:00:00+00:00,250.49126
2023-07-05 00:00:00+00:00,251.19707
2023-07-06 00:00:00+00:00,251.89868
2023-07-07 00:00:00+00:00,252.59608
2023-07-10 00:00:00+00:00,253.28926
2023-07-11 00:00:00+00:00,253.9782
2023-07-12 00:00:00+00:00,254.66298
2023-07-13 00:00:00+00:00,255.34352
2023-07-14 00:00:00+00:00,256.01978
2023-07-17 00:00:00+00:00,256.69186
2023-07-18 00:00:00+00:00,257.35974
2023-07-19 00:00:00+00:00,258.02332
2023-07-20 00:00:00+00:00,258.68274
2023-07-21 00:00:00+00:00,259.3379
2023-07-24 00:00:00+00:00,259.9888
2023-07-25 00:00:00+00:00,260.6355
2023-07-26 00:00:00+00:00,261.27792
2023-07-27 00:00:00+00:00,261.9162
2023-07-28 00:00:00+00:00,262.55017
2023-07-31 00:00:00+00:00,263.17996
2023-08-01 00:00:00+00:00,263.8055
2023-08-02 00:00:00+00:00,264.4268
2023-08-03 00:00:00+00:00,265.04385
2023-08-04 00:00:00+00:00,265.6568
2023-08-07 00:00:00+00:00,266.2654
2023-08-08 00:00:00+00:00,266.8699
2023-08-09 00:00:00+00:00,267.4701
2023-08-10 00:00:00+00:00,268.06613
2023-08-11 00:00:00+00:00,268.65796
2023-08-14 00:00:00+00:00,269.2456
2023-08-15 00:00:00+00:00,269.82907
2023-08-16 00:00:00+00:00,270.4084
2023-08-17 00:00:00+00:00,270.98343
2023-08-18 00:00:00+00:00,271.55435
2023-08-21 00:00:00+00:00,272.1211
2023-08-22 00:00:00+00:00,272.68365
2023-08-23 00:00:00+00:00,273.24213
2023-08-24 00:00:00+00:00,273.79642
2023-08-25 00:00:00+00:00,274.3466
2023-08-28 00:00:00+00:00,274.8926
2023-08-29 00:00:00+00:00,275.43454
2023-08-30 00:00:00+00:00,275.9724
2023-08-31 00:00:00+00:00,276.5061
2023-09-01 00:00:00+00:00,277.03574
2023-09-04 00:00:00+00:00,277.5613
2023-09-05 00:00:00+00:00,278.08276
2023-09-06 00:00:00+00:00,278.60022
2023-09-07 00:00:00+00:00,279.11362
2023-09-08 00:00:00+00:00,279.623
2023-09-11 00:00:00+00:00,280.12833
2023-09-12 00:00:00+00:00,280.6296
2023-09-13 00:00:00+00:00,281.12692
2023-09-14 00:00:00+00:00,281.6203
2023-09-15 00:00:00+00:00,282.10965
2023-09-18 00:00:00+00:00,282.59506
2023-09-19 00:00:00+00:00,283.07657
2023-09-20 00:00:00+00:00,283.55408
2023-09-21 00:00:00+00:00,284.0277
2023-09-22 00:00:00+00:00,284.4974
2023-09-25 00:00:00+00:00,284.96323
2023-09-26 00:00:00+00:00,285.42517
2023-09-27 00:00:00+00:00,285.88327
2023-09-28 00:00:00+00:00,286.3375
2023-09-29 00:00:00+00:00,286.78793
2023-10-02 00:00:00+00:00,287.23453
2023-10-03 00:00:00+00:00,287.67737
2023-10-04 00:00:00+00:00,288.1164
2023-10-05 00:00:00+00:00,288.55164
2023-10-06 00:00:00+00:00,288.98315
2023-10-09 00:00:00+00:00,289.41095
2023-10-10 00:00:00+00:00,289.835
2023-10-11 00:00:00+00:00,290.25537
2023-10-12 00:00:00+00:00,290.67206
2023-10-13 00:00:00+00:00,291.08514
2023-10-16 00:00:00+00:00,291.4945
2023-10-17 00:00:00+00:00,291.90027
2023-10-18 00:00:00+00:00,292.3024
2023-10-19 00:00:00+00:00,292.701
2023-10-20 00:00:00+00:00,293.09604
2023-10-23 00:00:00+00:00,293.48746
2023-10-24 00:00:00+00:00,293.87537
2023-10-25 00:00:00+00:00,294.25974
2023-10-26 00:00:00+00:00,294.64062
2023-10-27 00:00:00+00:00,295.01804
2023-10-30 00:00:00+00:00,295.39203
2023-10-31 00:00:00+00:00,295.76257
2023-11-01 00:00:00+00:00,296.12967
2023-11-02 00:00:00+00:00,296.49338
2023-11-03 00:00:00+00:00,296.8537
2023-11-06 00:00:00+00:00,297.21066
2023-11-07 00:00:00+00:00,297.5643
2023-11-08 00:00:00+00:00,297.91467
2023-11-09 00:00:00+00:00,298.26166
2023-11-10 00:00:00+00:00,298.6054
2023-11-13 00:00:00+00:00,298.94592
2023-11-14 00:00:00+00:00,299.28314
2023-11-15 00:00:00+00:00,299.6172
2023-11-16 00:00:00+00:00,299.948
2023-11-17 00:00:00+00:00,300.2757
2023-11-20 00:00:00+00:00,300.60022
2023-11-21 00:00:00+00:00,300.92154
2023-11-22 00:00:00+00:00,301.2398
2023-11-23 00:00:00+00:00,301.55502
2023-11-24 00:00:00+00:00,301.8671
2023-11-27 00:00:00+00:00,302.17612
2023-11-28 00:00:00+00:00,302.48215
2023-11-29 00:00:00+00:00,302.78522
2023-11-30 00:00:00+00:00,303.08524
2023-12-01 00:00:00+00:00,303.3823
2023-12-04 00:00:00+00:00,303.67642
2023-12-05 00:00:00+00:00,303.96762
2023-12-06 00:00:00+00:00,304.2559
2023-12-07 00:00:00+00:00,304.54132
2023-12-08 00:00:00+00:00,304.8239
2023-12-11 00:00:00+00:00,305.1036
2023-12-12 00:00:00+00:00,305.3805
2023-12-13 00:00:00+00:00,305.65463
2023-12-14 00:00:00+00:00,305.92593
2023-12-15 00:00:00+00:00,306.19455
2023-12-18 00:00:00+00:00,306.46036
2023-12-19 00:00:00+00:00,306.72348
2023-12-20 00:00:00+00:00,306.984
2023-12-21 00:00:00+00:00,307.24176
2023-12-22 00:00:00+00:00,307.4969
2023-12-25 00:00:00+00:00,307.74942
2023-12-26 00:00:00+00:00,307.99933
2023-12-27 00:00:00+00:00,308.2466
2023-12-28 00:00:00+00:00,308.4914
2023-12-29 00:00:00+00:00,308.73358
2024-01-01 00:00:00+00:00,308.9733
2024-01-02 00:00:00+00:00,309.2105
2024-01-03 00:00:00+00:00,309.44516
2024-01-04 00:00:00+00:00,309.67743
2024-01-05 00:00:00+00:00,309.90723
2024-01-08 00:00:00+00:00,310.1346
2024-01-09 00:00:00+00:00,310.35962
2024-01-10 00:00:00+00:00,310.58224
2024-01-11 00:00:00+00:00,310.80243
2024-01-12 00:00:00+00:00,311.0204
2024-01-15 00:00:00+00:00,311.23602
2024-01-16 00:00:00+00:00,311.4493
2024-01-17 00:00:00+00:00,311.6603
2024-01-18 00:00:00+00:00,311.86908
2024-01-19 00:00:00+00:00,312.07562
2024-01-22 00:00:00+00:00,312.2799
2024-01-23 00:00:00+00:00,312.482
2024-01-24 00:00:00+00:00,312.68195
2024-01-25 00:00:00+00:00,312.8798
2024-01-26 00:00:00+00:00,313.0754
2024-01-29 00:00:00+00:00,313.2689
2024-01-30 00:00:00+00:00,313.46033
2024-01-31 00:00:00+00:00,313.64972
2024-02-01 00:00:00+00:00,313.83688
2024-02-02 00:00:00+00:00,314.02222
2024-02-05 00:00:00+00:00,314.2054
2024-02-06 00:00:00+00:00,314.3866
2024-02-07 00:00:00+00:00,314.5658
2024-02-08 00:00:00+00:00,314.74304
2024-02-09 00:00:00+00:00,314.91837
2024-02-12 00:00:00+00:00,315.09174
2024-02-13 00:00:00+00:00,315.26315
2024-02-14 00:00:00+00:00,315.4327
2024-02-15 00:00:00+00:00,315.60034
2024-02-16 00:00:00+00:00,315.76624
2024-02-19 00:00:00+00:00,315.9302
2024-02-20 00:00:00+00:00,316.09235
2024-02-21 00:00:00+00:00,316.25272
2024-02-22 00:00:00+00:00,316.41122
2024-02-23 00:00:00+00:00,316.56805
2024-02-26 00:00:00+00:00,316.72305
2024-02-27 00:00:00+00:00,316.87634
2024-02-28 00:00:00+00:00,317.02798
